,TIPO_MOVIMENTO,TIPMOV,GRUPO,TOP,NRO_UNICO,NUNOTA,SEQUENCIA,NUNOTA_SEQ_ORIG,NUMNOTA_PED_ORIG,NUMNOTA,DIF_DIAS,DT_REL,DTNEG,DT_PREVENT,DTFATUR_PED,DT_ENT_ESTOQUE,CODPROD,REFERENCIA,DESCRPROD,CONTROLE,VLRMOEDA,MOEDA,QTD_NEG,QTD_ENTREGUE,QTD_PENDENTE,VLRUNITDOLAR,VLRTOT_NEG,VLRTOT_DOLAR,VLRTOT_ENTREGUE,VLRTOT_PENDENTE,REPRESENTADA,FAMILIA_PRODUTO,GRUPO_PRODUTO,FGCOLOR,DTVENC_FINAL,OBSERVACAO
10,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4473.0,4978,10,4473 / 9,1363,50596,0,2022-08-18,2022-07-04 17:43:00,2022-07-04,2022-08-18,2022-07-05,3350,040.0314,LOWACRYL VIOLET 2 - 1KG (RE),3,1.0,BLR,1.0,1.0,0.0,48.0,48.0,48.0,48.0,0.0,J.H.LOWENSTEIN,Corante catiônico,LOWACRYL VIOLET 2,#4169E1,2022-08-03,7951-22 - LOWENSTEIN - DANFE SAVIXX: 0050596
11,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4473.0,4978,11,4473 / 10,1363,50596,0,2022-08-18,2022-07-04 17:43:00,2022-07-04,2022-08-18,2022-07-05,4543,040.0406,LOWALAN VIOLET 43 (A05097) - 5KG(RE),A93435,1.0,BLR,90.0,90.0,0.0,50.02,4501.8,4501.8,4501.8,0.0,J.H.LOWENSTEIN,Corante aniônico,LOWALAN VIOLET 43 (A05097),#4169E1,2022-08-03,7951-22 - LOWENSTEIN - DANFE SAVIXX: 0050596
12,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4473.0,4978,12,4473 / 11,1363,50596,0,2022-08-18,2022-07-04 17:43:00,2022-07-04,2022-08-18,2022-07-05,4755,040.0417,LOWASOL SOFT BLACK EU - 5KG(RE),L93735,1.0,BLR,50.0,50.0,0.0,69.06,3453.0,3453.0,3453.0,0.0,J.H.LOWENSTEIN,Corante não iônico,LOWASOL SOFT BLACK EU,#4169E1,2022-08-03,7951-22 - LOWENSTEIN - DANFE SAVIXX: 0050596
13,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4473.0,4978,13,4473 / 12,1363,50596,0,2022-08-18,2022-07-04 17:43:00,2022-07-04,2022-08-18,2022-07-05,5766,040.0482,LOWACRYL YELLOW 28 - 25 KG - UN3142/CLASSE 6.1/PG II,A92765,1.0,BLR,25.0,25.0,0.0,24.5,612.5,612.5,612.5,0.0,J.H.LOWENSTEIN,Corante catiônico,LOWACRYL YELLOW 28,#4169E1,2022-08-03,7951-22 - LOWENSTEIN - DANFE SAVIXX: 0050596
14,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,1,4478 / 8,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,398,040.0045,"HC YELLOW 2 - 25,00 KG(RE)",1,1.0,BLR,25.0,25.0,0.0,44.23,1105.75,1105.75,1105.75,0.0,J.H.LOWENSTEIN,Corante não iônico,HC YELLOW 2,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
15,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,2,4478 / 9,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,404,040.0051,RODOL 6CP - 25.00KG,2,1.0,BLR,100.0,100.0,0.0,164.67,16467.0,16467.0,16467.0,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL 6CP,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
16,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,3,4478 / 10,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,,406,040.0057,RODOL 6AMC - 25KG,27,1.0,BLR,25.0,25.0,0.0,485.24,12131.0,12131.0,12131.0,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL 6AMC,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
17,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,4,4478 / 13,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,501,040.0091,RODOL PAOX - 5KG - UN3077/CLASSE 9/PG III,I93047,1.0,BLR,15.0,15.0,0.0,130.67,1960.05,1960.05,1960.05,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL PAOX,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
18,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,5,4478 / 11,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,501,040.0091,RODOL PAOX - 5KG - UN3077/CLASSE 9/PG III,29,1.0,BLR,35.0,35.0,0.0,130.67,4573.45,4573.45,4573.45,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL PAOX,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
19,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,6,4478 / 12,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,501,040.0091,RODOL PAOX - 5KG - UN3077/CLASSE 9/PG III,30,1.0,BLR,10.0,10.0,0.0,130.67,1306.7,1306.7,1306.7,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL PAOX,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
20,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,7,4478 / 14,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,501,040.0091,RODOL PAOX - 5KG - UN3077/CLASSE 9/PG III,32,1.0,BLR,15.0,15.0,0.0,130.67,1960.05,1960.05,1960.05,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL PAOX,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
21,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,8,4478 / 15,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,513,040.0103,RODOL 4 BXN - 5KG(RE),I91141,1.0,BLR,5.0,5.0,0.0,158.97,794.85,794.85,794.85,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL 4 BXN,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
22,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,9,4478 / 16,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,709,040.0129,RODOL PAOC - 5KG/UN3077/CLASSE 9/PG III,I93992,1.0,BLR,5.0,5.0,0.0,71.77,358.85,358.85,358.85,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL PAOC,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
23,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,10,4478 / 17,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,810,040.0137,RODOL 9R BASE - 25KG,27,1.0,BLR,25.0,25.0,0.0,98.51,2462.75,2462.75,2462.75,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL 9R BASE,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
24,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,11,4478 / 1,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,1346,040.0004,RODOL D TYPE J - 25KG - UN1673/CLASSE 6.1/PG III,I94031,1.0,BLR,600.0,600.0,0.0,14.37,8622.0,8622.0,8622.0,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL D TYPE J,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
25,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,12,4478 / 2,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,1348,040.0006,RODOL PAOX 25KG UN3077/CLASSE 9/PG III,30,1.0,BLR,150.0,150.0,0.0,125.17,18775.5,18775.5,18775.5,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL PAOX,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
26,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,13,4478 / 35,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,1348,040.0006,RODOL PAOX 25KG UN3077/CLASSE 9/PG III,31,1.0,BLR,75.0,75.0,0.0,125.17,9387.75,9387.75,9387.75,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL PAOX,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
27,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,14,4478 / 3,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,1597,040.0011,RODOL PAOC 25KG,I93992,1.0,BLR,100.0,100.0,0.0,66.27,6627.0,6627.0,6627.0,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL PAOC,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
28,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,15,4478 / 4,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,1600,040.0014,RODOL RS TECH - 25KG - UN2876/CLASSE 6.1/PG III,I93993,1.0,BLR,700.0,700.0,0.0,18.8,13160.0,13160.0,13160.0,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL RS TECH,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
29,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,16,4478 / 5,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,1607,040.0027,RODOL HDAP - 25KG(RE) - UN3077/CLASSE 9/PG III,15,1.0,BLR,25.0,25.0,0.0,138.86,3471.5,3471.5,3471.5,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL HDAP,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
30,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,17,4478 / 6,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,1607,040.0027,RODOL HDAP - 25KG(RE) - UN3077/CLASSE 9/PG III,18,1.0,BLR,50.0,50.0,0.0,138.86,6943.0,6943.0,6943.0,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL HDAP,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
31,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,18,4478 / 7,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,1607,040.0027,RODOL HDAP - 25KG(RE) - UN3077/CLASSE 9/PG III,19,1.0,BLR,25.0,25.0,0.0,138.86,3471.5,3471.5,3471.5,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL HDAP,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
32,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,19,4478 / 18,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,1860,040.0197,RODOL HDAP - 1KG - UN3077/CLASSE 9/PG III,15,1.0,BLR,3.0,3.0,0.0,148.86,446.58,446.58,446.58,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL HDAP,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
33,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,20,4478 / 19,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,1860,040.0197,RODOL HDAP - 1KG - UN3077/CLASSE 9/PG III,18,1.0,BLR,5.0,5.0,0.0,148.86,744.3,744.3,744.3,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL HDAP,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
34,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,21,4478 / 20,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,1860,040.0197,RODOL HDAP - 1KG - UN3077/CLASSE 9/PG III,19,1.0,BLR,12.0,12.0,0.0,148.86,1786.32,1786.32,1786.32,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL HDAP,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
35,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,22,4478 / 21,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,1972,040.0223,RODOL 2MR - 5KG(RE) - UN2811/CLASSE 6.1/PG III,I93959,1.0,BLR,15.0,15.0,0.0,150.5,2257.5,2257.5,2257.5,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL 2MR,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
36,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,23,4478 / 22,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,1973,040.0224,RODOL GRAY HED - 5KG - UN2811/CLASSE 6.1/PG III,72,1.0,BLR,5.0,5.0,0.0,70.98,354.9,354.9,354.9,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL GRAY HED,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
37,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,24,4478 / 23,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,1974,040.0225,RODOL HDAP - 5KG (RE)- UN3077/CLASSE 9/PG III,19,1.0,BLR,5.0,5.0,0.0,144.36,721.8,721.8,721.8,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL HDAP,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
38,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,25,4478 / 24,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,1987,040.0235,RODOL 6AMC - 5KG,27,1.0,BLR,15.0,15.0,0.0,378.0,5670.0,5670.0,5670.0,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL 6AMC,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
39,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,26,4478 / 25,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,2420,040.0272,RODOL 4 BXN - 1KG,I91141,1.0,BLR,3.0,3.0,0.0,183.77,551.31,551.31,551.31,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL 4 BXN,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
40,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,27,4478 / 26,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,2831,040.0291,RODOL GRAY BS - 5KG - UN3077/CLASSE 9/PG III,6,1.0,BLR,25.0,25.0,0.0,38.34,958.5,958.5,958.5,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL GRAY BS,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
41,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,28,4478 / 27,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,3989,040.0318,HC ORANGE 1 - 5KG - UN 3077/ CLASS 9/ PG III,5,1.0,BLR,30.0,30.0,0.0,219.68,6590.4,6590.4,6590.4,0.0,J.H.LOWENSTEIN,Corante não iônico,HC ORANGE 1,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
42,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,29,4478 / 28,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,4728,040.0413,HC BLUE 2 - 25KG(RE),6,1.0,BLR,175.0,175.0,0.0,125.13,21897.75,21897.75,21897.75,0.0,J.H.LOWENSTEIN,Corante não iônico,HC BLUE 2,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
43,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,30,4478 / 29,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,4728,040.0413,HC BLUE 2 - 25KG(RE),7,1.0,BLR,200.0,200.0,0.0,125.13,25026.0,25026.0,25026.0,0.0,J.H.LOWENSTEIN,Corante não iônico,HC BLUE 2,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
44,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,31,4478 / 30,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,5130,040.0425,HC BLUE 2 - 5KG,6,1.0,BLR,30.0,30.0,0.0,130.63,3918.9,3918.9,3918.9,0.0,J.H.LOWENSTEIN,Corante não iônico,HC BLUE 2,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
45,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,32,4478 / 31,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,5130,040.0425,HC BLUE 2 - 5KG,7,1.0,BLR,25.0,25.0,0.0,130.63,3265.75,3265.75,3265.75,0.0,J.H.LOWENSTEIN,Corante não iônico,HC BLUE 2,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
46,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,33,4478 / 32,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,5131,040.0426,HC BLUE 2 - 1KG(RE),6,1.0,BLR,1.0,1.0,0.0,135.13,135.13,135.13,135.13,0.0,J.H.LOWENSTEIN,Corante não iônico,HC BLUE 2,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
47,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,34,4478 / 33,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,5131,040.0426,HC BLUE 2 - 1KG(RE),7,1.0,BLR,3.0,3.0,0.0,135.13,405.39,405.39,405.39,0.0,J.H.LOWENSTEIN,Corante não iônico,HC BLUE 2,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
48,C-Compra,C-Compra,INTERNACIONAIS,1706 - COMPRA - REVENDA SAVIXX,4478.0,4982,35,4478 / 34,1364,50597,0,2022-05-03,2022-07-04 00:00:00,2022-07-04,2022-05-03,2022-07-05,5686,040.0472,RODOL BROWN SO - 1KG,I91121,1.0,BLR,1.0,1.0,0.0,38.4,38.4,38.4,38.4,0.0,J.H.LOWENSTEIN,Corante oxidativo,RODOL BROWN SO,#4169E1,2022-09-17,7951-22 - LOWENSTEIN - DANFE: 0050597
49,C-Compra,C-Compra,NACIONAIS,200 - COMPRA - REVENDA - SANTA CATARINA,4913.0,5257,1,4913 / 1,8006,9335,0,2022-07-07,2022-07-07 00:00:00,2022-07-07,2022-07-07,,1628,001.0019,CARBOPOL 941 - 22KG,0000095579,5.4321,USD,22.0,22.0,0.0,27.88,613.36,613.36,613.36,0.0,LUBRIZOL,Polímeros em Pó,CARBOPOL  941,#4169E1,2022-09-05,
