,AD_GRUPOECONOMICO,AD_CODUNNEG,DESCRICAO,SEGMENTO
22,MEDGEL IND COM ARTS MEDICOS E HOSP LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
23,MONTEMOR INDUSTRIA DE BORRACHA LTDA,1.0,INDUSTRIAL,
24,MULTICOLOR IND COM DE PIGMENTOS LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
25,NATURALLE INDUSTRIAL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
26,KANITZ 1900 COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
27,KELSON S INDUSTRIA E COMERCIO S/A,1.0,INDUSTRIAL,HOUSEHOLD | OUTROS - HOUSEHOLD
28,L.R. CIA BRAS. DE PRODS HIGIENE E TOUC.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
29,GRUPO FARMAERVAS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
30,MADELIA IND E COM DE PLASTICOS LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
31,POLYCAST INDUSTRIA E COMERCIO LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
32,NAPASIL COMERCIO INDUSTRIA LTDA - ME,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
33,PARKER HANNIFIN INDUSTRIA E COMERCIO LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
34,PREN FLEX PROD DE BORRACHA LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
35,PROSPERIDADE REPRES.COML.IND. EXP. LTDA.,1.0,INDUSTRIAL,
36,LUZ IND. E COM. DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
37,RIO JAPAN VEICULOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
38,YUKIKO ETO CIA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
39,SAB WABCO DO BRASIL S/A.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
40,STILLUX IND DE TINTAS IMP EXP LTDA,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
41,UCI-FARMA IND FARMACEUTICA LTDA,3.0,FOOD & NUTRITION,
42,ROSSINI HEINE INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
43,RUBBERPLAST INDUSTRIA E COMERCIO LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
44,S S INDÚSTRIA COMÉRCIO COSMETICOS LTDA - EPP,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
45,SBC IND E COM DE ARTEF DE BORR LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
46,GRUPO GLAXO,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
47,SUPRIMENTOS MATERIAIS GRAFICOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
48,CASA ADELINO PRODUTOS ANACONDA LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
49,EDCELL APARELHOS CELULARES E ACESSORIOS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
50,MEDICINALLIS PHARMACIA DE MANIP. E DROGA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
51,VETNIL IND. E COM. DE PROD. VETERINARIOS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Skin Care
52,ELZA IND. E COM. DE COSMETICOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
53,BIOTEC QUIMICA LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
54,GRUPO PPG,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Artísticas
55,CASTROL BRASIL LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
56,COMERCIAL QUIMPORTEX LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
57,IMATION DO BRASIL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
58,AKLA INDUSTRIA DE COSMETICOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
59,MAQUEJUNTA IND. E COM. LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
60,BARGOA CONECTORES IND. E COM. S/A.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
61,MANUFATURA PRODUTOS KING LTDA.,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
62,MULTIJUNTAS IND. E COM. DE JUNTAS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
63,Q S P FARMA FARMACIA DE MANIPULACAO,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
64,ISOFAR IND E COM DE PRODUTOS QUIMICOS LT,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
65,WEILL INDUSTRIA E COMERCIO LTDA.,2.0,LIFE & PERSONAL CARE,
66,SPECTRUM QUIMICA COMERCIAL LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
67,NUTRIPHITOS COSMETICOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
68,JEFFERSON EDUARDO SANTO - ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
69,BETIM QUIMICA LTDA.,1.0,INDUSTRIAL,
70,ESSEMBRA - ESSENCIAS E PROD. AROMATICOS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
71,UNIVERSIDADE DE SAO PAULO,1.0,INDUSTRIAL,
72,BIO PRODUCTS INDUSTRIA COMÉRCIO LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Skin Care
73,DSND CONSUB S/A.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
74,BRAZILIAN COLOR IND. TINTAS E VERNIZES LTDA,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Artísticas
75,DENTALVILLE DO BRASIL LTDA.,1.0,INDUSTRIAL,DENTAL | Dentes Artificiais / Obturações
76,IVAN BOVI SGARDERLA - ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
77,T.R.A. - IND. ARTEFATOS DE BORRACHA LTDA,1.0,INDUSTRIAL,
78,TRILHA INDUSTRIA E COMERCIO LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
79,SESPO,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
80,LYS INDUSTRIA E COMERCIO LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
81,SPRANGER QUIMICA LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
82,IND E COM GIVAN LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
83,FONTANA BOARO - CIA LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
84,LABORATIL FARMACEUTICA LTDA.,3.0,FOOD & NUTRITION,
85,TERIO QUIMICA LTDA-ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
86,AP WINNER IND. E COM. DE PRODUTOS QUIMIC,1.0,INDUSTRIAL,METALWORKING | Adesivos para metal-borracha
87,VALLEE S/A,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
88,DRAGARIA E FARMACIA BECKER LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
89,ROMANA INDUSTRIA QUIMICA LTDA,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
90,AGEL ANEIS GAXETAS EQUIPAMENTOS LTDA.,1.0,INDUSTRIAL,
91,FLINT INK DO BRASIL LTDA.,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Artísticas
92,APIS FLORA INDUSTRIAL E COMERCIAL LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
93,PAULO CESAR CAVALCANTE DA SILVA E CIA LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
94,BM PHARMA FARMACIA DE MANIPULACAO LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
95,POLIFILM IND. E COM. DE TINTAS E VERNIZE,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
96,GRUPO DEVINTEX,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
97,5 S IND E COM DE COSMETICOS EIRELI - EPP,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
98,PROLAB IND. E COM. DE COSMETICOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
99,TENSILL IND. DE BACTERICIDAS E PRODUTOS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
100,PLASTICOS ALKO LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
101,RODOVIA DA BELEZA LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
102,DIFLAMA INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
103,SADESA BRASIL IND. E COM. DE COUROS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
104,PLAST MED S/A,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
105,PERK PLAST COMERCIAL E INDUSTRIAL LTDA.,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
106,BOMBRIL S/A,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
107,SILAEX QUIMICA LTDA,1.0,INDUSTRIAL,
108,PUELLA- IND E COMERCIO DE COSMETICOS LTDA-EPP,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
109,AGE DO BRASIL INDÚSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
110,LABORATORIO TEUTO BRASILEIRO S/A,2.0,LIFE & PERSONAL CARE,
111,SCHWAN COSMETICS DO BRASIL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Skin Care
112,SCTEX ESPUMAS E SINTETICOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
113,GRUPO EMBRASCOM,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
114,LAMITEC LAMINAÇÕES TÉCNICAS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
115,QUIMIFORMULA COM.PROD.QUIMICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
116,NATUSENSE INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
117,PHARMAVITTA INDUSTRIA E COMERCIO LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
118,GRUPO CORDIAL COSMÉTICOS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
119,LAMINADOS VALLIMPLAST FAB COM. PLASTICOS LTDA.,1.0,INDUSTRIAL,
120,ORIGINAL BORTORI COMERCIAL LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
121,SIDERQUIMICA IND.E COM. DE PROD.QUIMICOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
122,LED-LAB DE EVOLUÇÃO DERMATOLÓGICA LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
123,MARCHETTI - CIA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
124,LIBBS FARMACEUTICA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
125,MANOEL BENEDITO DA SILVA - S.JOSE DO RIO PRETO,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Autocare
126,ARARUAMA LAGOS ARTEFATOS DE BORRACHA LTDA.,1.0,INDUSTRIAL,
127,VMX DO BRASIL IND. E COMERCIO LTDA.,1.0,INDUSTRIAL,
128,BIOCOSMÉTICA IND. E COMÉRCIO LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Skin Care
129,SUN CHEMICAL DO BRASIL LTDA,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Artísticas
130,ENSINGER IND.DE PLASTICOS TECNICOS LTDA.,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
131,ATSUM IND. E COMECIO DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
132,OXIDO - METAL QUIMICA LTDA,1.0,INDUSTRIAL,
133,SYNTONICS DO BRASIL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
134,GRUPO TRIEL,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | OUTROS - PERSONAL CARE
135,FERNANDO NEY LIMA BIRON,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
136,CHO INDUSTRIA E COMÉRCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
137,BORROZ IND. E COM. DE BORRACHAS LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
138,VALDEQUIMICA PRODUTOS QUIMICOS LTDA,1.0,INDUSTRIAL,
139,BELLECORPHAIR IND COM DE COSM EIRELI ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
140,LEAGEE INDÚSTRIA DE COSMÉTICOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
141,BRASCERAS S/A,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Emulsões
142,DISTRIBUIDORA SILVA LOBO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
143,UNIVERSAL CHEMICAL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
144,SANTA TEREZINHA INDÚSTRIA E COMÉRCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
145,BURITAMA SINTETICOS LTDA - EPP,1.0,INDUSTRIAL,
146,MERCK S/A,1.0,INDUSTRIAL,
147,UMMEN INDUSTRIALIZAÇÃO DE ALCOOL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
148,RODOCARGO TRANSP. REPRESENTAÇÕES LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
149,REFENTAL INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
150,JEAN CARLO IND. E COM. DE COSMÉTICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
151,REDOMA PERFUMES LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
152,QUINOVA LTDA - ME,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
153,WECKERLE DO BRASIL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
154,HYDRAPLUS INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
155,ARNECKE - CIA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
156,ORGANIC QUIMICA LTDA,1.0,INDUSTRIAL,
157,HEWLETT PACKARD DO BRASIL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
158,JSB COSMÉTICOS E PERFUMARIA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
159,ACETONA JULIANA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
160,AIMER COSMÉTICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
161,INFA-INSTITUTO FARMACEUTICO PERFECT LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
162,RANDALL IND. E COMÉRCIO DE CALÇADOS LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
163,ALONA LABORATORIOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
164,ACN - QUIMICA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
165,WEST COSMÉTICA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
166,STILCOR INDUSTRIA DE TINTAS LTDA,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
167,WALTER SEEMAN,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
168,GIOVANELLA INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
169,IND E COM PRODS QUIMICOS TANGARA LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
170,PIRATININGA IND. E COM. DE PROD.ESCOLARES LTDA,2.0,LIFE & PERSONAL CARE,
171,MILLENNIUM INORGANIC DO BRASIL SA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
172,VONIXX INDUSTRIA COMERCIO DE POLIDORES LTDA,2.0,LIFE & PERSONAL CARE,I&I – INDUSTRIAL & INSTITUCIONAL | Autocare
173,ELASTO COM. ELSTOMEROS DE BORRACHA LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
174,ELETRIC PRODUTOS IND. E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
175,ALIANZA IND. COM. COSMÉTICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
176,DAL PIZZOL MOURA - CIA LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
177,SAM PLUS COMERCIO DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
178,TECPOL TECNOLOGIA EM POLIURETANO LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
179,HERBALIFE INTERNACIONAL DO BRASIL LTDA,3.0,FOOD & NUTRITION,
180,PLASTPUR PLASTICOS IND. POLIURETANOS E RESINAS LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
181,BIOFACTOR IND. E COM DE COSMETICOS LTDA - ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
182,ROVED COM. E IMP. DE ROLAMENTOS E VEDAÇÕES LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
183,PRINCELUX IND. E COM. DE TINTAS LTDA,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
184,GRUPO LA FORCE,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
185,MAQUIRA INDUSTRIA DE PRODUTOS ODONTOLOGICOS LTDA,1.0,INDUSTRIAL,DENTAL | Dentes Artificiais / Obturações
186,EXPRESSO LIMEIRA DE VIAÇÃO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
187,POLIBOR DO BRASIL IND. DE ART. DE BORRACHA LTDA,1.0,INDUSTRIAL,
188,MASTER QUIMICA DO BRASIL LTDA-EPP,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
189,FERNANDO CESAR BOTA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
190,LUCAS TEIXEIRA COSTA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
191,DUETTO COMERCIO E DISTRIBUIÇÃO EIRELI,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
192,PROFESSIONALE COSMETICOS LTDA - ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
193,S. NOBRE CORDEIRO - ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
194,CM INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
195,RAIZ LATINA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
196,JOÃO CESAR GOLLO,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
197,DANIELE FERNANDES DA SILVA ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
198,CROMASTER INDÚSTRIA E COMÉRCIO LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
199,PROMASQ IND E COM DE PROD E. E BORR EIRELI - EPP,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
200,SAFRA IND. E COM. DE ALCOOL PARA USO DOMESTICO LTDA,2.0,LIFE & PERSONAL CARE,
201,JR ITAIPAVA FERRAGENS EIRELLI ME,1.0,INDUSTRIAL,HOUSEHOLD | OUTROS - HOUSEHOLD
202,PROVISION PRODUTOS E SERVIÇOS PARA COURO LTDA,1.0,INDUSTRIAL,
203,HERDAN IND. E COM. DE COSMÉTICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
204,PROLINK INDUSTRIA QUIMICA LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
205,SENSIENT COSMETIC TECH E CORANTES IMP E EXP DO BRASIL LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
206,ALABASTRUM MULTINIVEL DO BRASIL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
207,RENATA COSTA RIBEIRO FRANCISCO,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
208,VILLETTI INDÚSTRIA COSMÉTICA LTDA ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
209,BIODOMANI INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
210,AXIGRAM LABORATORIO LTDA - ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
211,RAIZ LATINA COSMETICOS EIRELI ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
212,HERODES EDMUNDO ALBINO COM DE PLASTICOS,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
213,OM INDUSTRIA DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
214,M. R. F. COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
215,TRANSPORTES WARTHA LTDA,1.0,INDUSTRIAL,
216,AQS INDUSTRIA E COMERCIO DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Skin Care
217,LEXIN S INDÚSTRIA DE COSMÉTICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
218,CASA MAIOR AROMAS PARA AMBIENTES PERFUMES E COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
219,GRUPO LASZLO,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
220,GRUPO BADEN,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Artísticas
221,GRUPO ITALLIAN HAIRTECH,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
222,MAURO LOURENÇO DOS SANTOS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
223,IMP.E EXP.DE MEDIDORES POLIMATE LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
224,GRAM-MAX INDUSTRIA E COMERCIO DE GRAMPOS LTDA,1.0,INDUSTRIAL,
225,NEANDER COSMÉTICOS INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
226,SIDONE INDUSTRIA E COMÉRCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
227,BRUNA DE CÁSSIA CALEGON TEIXEIRA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
228,INSERT QUIMICA INDUSTRIAL LTDA,1.0,INDUSTRIAL,I&I – INDUSTRIAL & INSTITUCIONAL | Autocare
229,LVG COSMETICOS LTDA - ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
230,RAZZO LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
231,NATULAB LABORATORIO S/A,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
